Date,adj_open,adj_close,adj_vol,adj_high,adj_low,adj_open_tomorrow,vol_m_ave_10,vol_rel_m_ave_10,relative_overnight_tomorrow,relative_intraday,relative_intraday_tomorrow,relative_overnight,adj_close_tomorrow,sentiment_p,sentiment_n,sentiment_u
2010-06-29,19.0,23.89,18766300.0,25.0,17.54,25.79,,,0.07953118459606534,0.2573684210526317,-0.07599844901124475,,23.83,0.3333333333333333,0.3333333333333333,0.3333333333333333
2010-06-30,25.79,23.83,17187100.0,30.4192,23.3,25.0,,,0.049097775912715136,-0.07599844901124475,-0.12159999999999993,0.07953118459606534,21.96,0.3333333333333333,0.3333333333333333,0.3333333333333333
2010-07-01,25.0,21.96,8218800.0,25.92,20.27,23.0,,,0.04735883424408005,-0.12159999999999993,-0.16521739130434787,0.049097775912715136,19.2,0.3333333333333333,0.3333333333333333,0.3333333333333333
2010-07-02,23.0,19.2,5139800.0,23.1,18.71,20.0,,,0.04166666666666674,-0.16521739130434787,-0.1945,0.04735883424408005,16.11,0.3333333333333333,0.3333333333333333,0.3333333333333333
2010-07-06,20.0,16.11,6866900.0,20.0,15.83,16.4,,,0.018001241464928652,-0.1945,-0.03658536585365846,0.04166666666666674,15.8,0.3333333333333333,0.3333333333333333,0.3333333333333333
2010-07-07,16.4,15.8,6921700.0,16.63,14.98,16.14,,,0.021518987341772045,-0.03658536585365846,0.08178438661710041,0.018001241464928652,17.46,0.3333333333333333,0.3333333333333333,0.3333333333333333
2010-07-08,16.14,17.46,7711400.0,17.52,15.57,17.58,,,0.0068728522336767295,0.08178438661710041,-0.010238907849829282,0.021518987341772045,17.4,0.3333333333333333,0.3333333333333333,0.3333333333333333
2010-07-09,17.58,17.4,4050600.0,17.9,16.55,17.95,,,0.031609195402298784,-0.010238907849829282,-0.05013927576601662,0.0068728522336767295,17.05,0.3333333333333333,0.3333333333333333,0.3333333333333333
2010-07-12,17.95,17.05,2202500.0,18.07,17.0,17.3938,,,0.020164222873900073,-0.05013927576601662,0.042900343800664764,0.031609195402298784,18.14,0.3333333333333333,0.3333333333333333,0.3333333333333333
2010-07-13,17.3938,18.14,2680100.0,18.64,16.9,17.94,7974520.0,-0.6639170758866991,-0.011025358324145529,0.042900343800664764,0.10590858416945359,0.020164222873900073,19.84,0.3333333333333333,0.3333333333333333,0.3333333333333333
2010-07-14,17.94,19.84,4195200.0,20.15,17.7601,19.94,6517410.0,-0.35630871772682704,0.00504032258064524,0.10590858416945359,-0.0025075225677031465,-0.011025358324145529,19.89,0.3333333333333333,0.3333333333333333,0.3333333333333333
2010-07-15,19.94,19.89,3739800.0,21.5,19.0,20.7,5172680.0,-0.27700920992599576,0.040723981900452344,-0.0025075225677031465,-0.0028985507246376274,0.00504032258064524,20.64,0.3333333333333333,0.3333333333333333,0.3333333333333333
2010-07-16,20.7,20.64,2621300.0,21.3,20.05,21.37,4612930.0,-0.4317494520835998,0.03536821705426352,-0.0028985507246376274,0.0252690687880206,0.040723981900452344,21.91,0.3333333333333333,0.3333333333333333,0.3333333333333333
2010-07-19,21.37,21.91,2486500.0,22.25,20.92,21.85,4347600.0,-0.42807525991351547,-0.00273847558192597,0.0252690687880206,-0.07093821510297482,0.03536821705426352,20.3,0.3333333333333333,0.3333333333333333,0.3333333333333333
2010-07-20,21.85,20.3,1825300.0,21.85,20.05,20.66,3843440.0,-0.5250869013175696,0.01773399014778332,-0.07093821510297482,-0.021297192642788065,-0.00273847558192597,20.22,0.3333333333333333,0.3333333333333333,0.3333333333333333
2010-07-21,20.66,20.22,1252500.0,20.9,19.5,20.5,3276520.0,-0.6177346697105466,0.013847675568743778,-0.021297192642788065,0.024390243902439046,0.01773399014778332,21.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
