Using: ,adj_low,adj_close_tomorrow,sentiment_p,sentiment_n,adj_open_tomorrow
Predict: ,adj_close_tomorrow
Train RMSE 1: ,3.9103067854833706
Test RMSE 1: ,5.796537501123182
Baseline RMSE 1: ,7.504740994876714
Predicted adj_close_tomorrow,True adj_close_tomorrow,Relative Error on adj_close_tomorrow
292.631,291.53,0.00377562098964
293.613,292.33,0.00439056844336
297.913,299.66,0.00582853356851
302.846,307.55,0.0152943523855
307.295,306.57,0.00236392423249
309.142,306.87,0.00740238878001
310.037,308.69,0.00436276900471
308.18,304.11,0.0133821873086
306.821,305.23,0.00521400965819
307.847,303.48,0.0143896957403
304.92,301.06,0.0128211050123
303.674,298.94,0.0158348683251
303.191,303.4,0.000689733476331
304.147,312.01,0.025200518319
308.21,306.1,0.00689424092923
308.114,302.41,0.0188625617371
305.106,301.22,0.0129020442194
306.243,305.57,0.00220347760052
305.655,304.21,0.00475150896739
304.828,300.99,0.0127524806161
302.814,300.75,0.00686232011118
301.06,296.91,0.0139780107832
299.675,295.74,0.0133058745713
298.202,297.26,0.00316923703944
298.548,296.69,0.00626100274461
297.87,293.97,0.0132655013227
295.016,291.34,0.012616482581
291.333,286.47,0.0169759464001
288.381,284.82,0.0125016037747
288.001,285.57,0.0085113276394
288.488,287.09,0.00487000126131
287.968,284.57,0.0119402413208
289.187,289.73,0.00187380225905
291.752,290.01,0.00600800100374
291.016,286.21,0.0167933281752
286.191,280.93,0.0187286397593
283.502,281.58,0.00682690296164
284.626,283.98,0.00227558526349
284.796,280.98,0.0135819796727
287.694,288.8,0.00382794831928
291.912,293.64,0.0058845922223
294.886,294.1,0.00267355152637
297.62,295.86,0.0059476084088
299.103,299.71,0.00202662541238
302.183,300.36,0.0060705473744
301.546,299.64,0.00636184971445
301.608,298.86,0.00919433381354
301.467,297.92,0.0119058135757
300.249,296.06,0.0141481042496
302.185,304.17,0.00652435861576
307.462,312.034,0.0146512534178
312.811,312.06,0.00240699451703
316.356,316.34,5.15038395695e-05
315.49,311.49,0.0128420602262
314.842,314.13,0.00226641665199
315.757,312.65,0.00993720279891
317.383,318.12,0.00231598218882
318.382,316.01,0.0075046066951
315.984,312.64,0.0106945721129
318.617,320.95,0.00726893624518
320.521,320.51,3.4688977138e-05
320.364,314.76,0.0178040846101
318.808,319.04,0.00072694661744
315.438,310.03,0.0174419588994
310.833,303.23,0.0250721947088
303.465,298.23,0.0175535537602
305.298,305.174,0.000406239171137
309.229,310.889,0.00534088803349
311.042,310.7,0.00110042045306
310.626,306.4,0.0137937461116
311.099,310.49,0.00196092123916
310.842,310.77,0.000232796574336
321.561,328.931,0.0224048802575
327.636,326.44,0.00366363132749
331.209,332.54,0.00400266476989
330.713,326.756,0.0121113933914
331.816,332.21,0.00118734608286
353.879,363.39,0.0261729042618
360.067,358.16,0.00532465277172
362.755,362.7,0.000151906356622
363.141,361.08,0.00570920430981
364.615,364.03,0.00160765424553
364.209,359.002,0.0145049890206
361.377,358.74,0.00734974619284
359.791,358.892,0.00250378492389
360.18,356.18,0.0112305133037
353.899,343.56,0.0300929755378
349.258,350.31,0.00300306698219
352.966,354.378,0.00398512526922
353.199,349.53,0.0104983646846
353.511,356.22,0.00760600303293
360.53,367.396,0.0186869561439
367.852,369.17,0.00357119068409
370.359,366.18,0.0114129441655
368.124,364.94,0.00872403348303
367.208,362.57,0.0127927074858
367.728,368.92,0.00323089596301
371.841,372.31,0.00125871013697
375.62,376.64,0.0027083313455
380.677,381.37,0.00181672774205
385.127,386.71,0.00409339122926
391.875,393.62,0.00443251191961
396.551,392.3,0.0108356927993
390.859,384.66,0.0161165848219
387.303,385.96,0.0034802120848
387.364,384.49,0.00747598355736
388.81,386.95,0.0048065796766
388.701,384.89,0.00990245259806
387.895,387.78,0.000295823290187
387.21,382.19,0.0131352849644
384.489,381.25,0.00849497310451
386.23,384.24,0.00517797142472
389.135,388.97,0.000423751600782
390.925,387.65,0.0084493345066
393.927,395.96,0.00513335013223
394.36,395.19,0.00209959763717
400.518,402.2,0.00418221328106
404.162,402.92,0.00308201181182
403.412,399.2,0.0105504588278
404.226,404.39,0.000405969291711
403.022,398.08,0.0124138313858
399.341,393.37,0.0151790245834
398.552,398.79,0.000597412641992
400.092,397.97,0.00533277673254
399.423,396.44,0.00752401635789
398.211,393.63,0.0116390692183
397.238,398.03,0.00199031990365
401.571,401.92,0.000867460943331
403.546,401.01,0.0063237785529
402.626,397.66,0.0124883798984
397.252,390.98,0.0160421677529
396.073,397.54,0.00368904811957
398.628,395.87,0.00696706433378
397.174,395.8,0.00347186411915
397.843,399.61,0.00442161454097
404.811,407.05,0.00549956671862
407.95,404.54,0.00843011168936
403.967,399.87,0.0102448640046
397.257,387.6,0.0249137287908
391.044,386.28,0.0123336711408
390.964,394.43,0.00878816499244
390.805,384.2,0.0171915478287
397.095,403.01,0.0146775064757
369.734,358.69,0.0307897579288
352.885,346.15,0.0194582335095
349.109,347.95,0.00333192838747
348.496,346.45,0.00590658937978
350.091,354.59,0.0126871949051
359.272,361.08,0.00500778345303
361.596,360.87,0.002012673474
364.041,361.79,0.00622163153284
356.692,349.25,0.0213071677031
353.687,357.2,0.00983539166936
357.763,357.35,0.00115607264193
357.051,353.65,0.00961761496183
352.705,347.38,0.0153289079817
