Using: ,adj_low,adj_close_tomorrow,sentiment_p,sentiment_n,adj_open_tomorrow
Predict: ,adj_close_tomorrow
Train RMSE 1: ,2.6092361231204926
Test RMSE 1: ,5.051127613957105
Baseline RMSE 1: ,7.097407989612968
Predicted adj_close_tomorrow,True adj_close_tomorrow,Relative Error on adj_close_tomorrow
455.781,454.02152094,0.00387627476631
454.861,454.397682114,0.00101874108816
459.954,461.544744411,0.00344654428443
462.613,462.929017529,0.000682040371574
464.438,463.77663404,0.00142516346044
463.829,461.227765928,0.00563929609808
462.338,460.6971279,0.00356108063308
460.458,456.749943319,0.00811763384843
450.593,449.687141125,0.00201486650497
453.226,456.759974284,0.00773681965638
455.39,453.299291487,0.0046116970834
454.923,452.847898079,0.00458261626114
449.396,445.224364963,0.00937068746778
446.127,444.045726619,0.00468675820625
444.624,442.500958067,0.00479822228661
446.599,446.839350268,0.000537960145312
447.052,445.249442374,0.00404938592466
451.792,453.509941745,0.00378710946608
454.661,454.688580088,6.10361743555e-05
455.255,453.901149365,0.00298244110955
453.003,449.673097775,0.00740615955916
449.712,446.703932245,0.00673352090153
449.508,447.71204419,0.0040117393009
447.78,446.58356067,0.00268004794874
446.588,444.125974336,0.00554342116049
444.654,441.989378871,0.00602785212738
440.047,436.251667104,0.00869902407605
434.472,431.160952556,0.00767912941797
432.308,429.780691823,0.00587999535067
433.61,434.165226462,0.001279854586
435.343,434.049870368,0.00297982199425
437.297,436.010923953,0.00294935511103
438.97,438.207705206,0.00173992513888
439.389,436.452286397,0.0067280596819
437.205,434.536372153,0.0061421340109
431.376,426.391228876,0.0116899767361
427.49,425.588751706,0.00446724215219
428.886,429.039403537,0.000357013988231
428.057,424.761197124,0.00775870326961
430.627,431.522067282,0.00207516703384
435.128,437.166491078,0.00466263496641
439.189,441.14176236,0.00442648175652
442.448,441.151793324,0.00293815921113
444.86,445.401913037,0.00121760683489
446.969,445.710866747,0.00282315418544
448.659,449.482509447,0.00183159234648
