Using: ,adj_low,adj_close_tomorrow,sentiment_p,sentiment_n,adj_open_tomorrow
Predict: ,adj_close_tomorrow
Train RMSE 1: ,0.3622589177245028
Test RMSE 1: ,0.43546328180252325
Baseline RMSE 1: ,0.5868655931171728
Predicted adj_close_tomorrow,True adj_close_tomorrow,Relative Error on adj_close_tomorrow
68.6681,68.8202838645,0.00221134535176
68.8496,68.5879941877,0.00381363260442
69.2059,69.3563369649,0.00216934399985
69.4751,69.3563369649,0.00171199645758
69.1852,68.8202838645,0.00530261278522
69.0429,69.1240472881,0.00117371518315
69.2285,68.9721655763,0.00371605371807
69.2029,69.097244633,0.00152891560708
69.4948,69.7583767901,0.00377869021774
69.64,69.570758205,0.000995920740226
69.9824,70.1782850521,0.00279104578147
70.1095,69.8923900652,0.00310674055476
69.8306,69.6958372618,0.00193321121014
69.7676,69.6869030434,0.0011582266543
69.6012,69.6779688251,0.0011011624038
69.8527,69.5886266417,0.00379443829632
69.76,69.6332977334,0.00181948547006
70.0112,69.8834558469,0.00182730413644
70.2288,70.3569694188,0.00182238211307
70.3192,70.3748378555,0.000790395971266
70.1137,69.570758205,0.00780483714811
69.6075,69.54395555,0.000914362647632
69.5536,69.4360936569,0.00169213450915
69.4262,69.1214964688,0.00440791251985
69.25,69.2832893084,0.00048037094322
69.2896,69.0855425045,0.0029532016129
68.9608,68.6720719144,0.00420411617475
67.5979,66.8833621879,0.0106835756783
66.8354,66.6137074552,0.00332785453402
66.5029,66.1373174275,0.00552819351589
66.1622,65.8227202394,0.00515761603973
66.1482,66.1103519543,0.000572974594143
66.2458,66.0294555345,0.00327723548756
66.2698,66.0114785523,0.0039138325508
66.0771,65.6429504177,0.00661361169637
65.7304,65.4901460692,0.00366913463578
65.4322,65.0586984969,0.00574025159005
65.2938,65.1036409524,0.00292110637178
65.5543,65.5980079622,0.000666906049265
65.7977,65.3283532296,0.00718394394229
65.6282,65.5350885246,0.00142050518276
65.5677,65.3193647385,0.00380249649606
65.5422,65.2474568098,0.00451658362488
65.7838,66.0743979899,0.00439795369443
66.3081,66.4788800889,0.00256862572173
66.6622,66.5597765087,0.00153860432885
66.6929,66.4339376334,0.00389864177981
66.8553,66.8384197324,0.000252224435979
67.2804,67.2159363581,0.000958418586488
67.5655,67.5485105284,0.000251151880959
68.1084,68.6900488966,0.00846764326204
68.47,68.5012905837,0.000456547664873
68.4726,68.1597279224,0.00459020747273
68.4415,68.6900488966,0.00361833290945
68.3636,68.0878199937,0.00405083036123
67.9746,67.099085974,0.013048443911
67.3544,67.0721205007,0.0042090610752
67.0452,66.8384197324,0.00309311103764
66.844,66.4788800889,0.00549275496552
66.5134,66.1463059186,0.00555014842712
66.3047,66.2631563028,0.000627567494713
66.0896,65.7598008018,0.00501508785207
65.7898,65.4362151226,0.00540412636844
65.2613,64.6002854514,0.0102326009248
65.1049,65.5261000335,0.00642732760743
65.5087,65.6159849444,0.00163519703519
66.4964,67.2249248492,0.0108367995484
67.0256,67.2518903225,0.00336475411096
