Using: ,adj_open_tomorrow,sentiment_n,adj_close_tomorrow,sentiment_p,adj_low
Predict: ,adj_close_tomorrow
Train RMSE 1: ,0.739347801638241
Test RMSE 1: ,0.9517311949260838
Baseline RMSE 1: ,1.224528726329681
Predicted adj_close_tomorrow,True adj_close_tomorrow,Relative Error on adj_close_tomorrow
55.219,55.4462047723,0.00409765084126
55.4054,55.2335308012,0.00311194626971
56.1759,56.0944665438,0.00145150712286
56.4704,55.9923305255,0.00853747445294
56.4835,56.1144211386,0.0065780284265
56.7349,56.4760981699,0.0045833377857
56.8591,56.4911953962,0.00651334964109
57.2555,56.681289168,0.0101303303049
57.0246,55.7875333681,0.0221753084761
56.6709,55.9660744797,0.0125942486987
56.2212,55.0051032025,0.0221094061212
57.529,57.8302537333,0.00520842974385
58.1814,57.5663804728,0.0106830669043
58.0735,57.8932682433,0.00311280500997
58.5777,58.7859738014,0.00354243565974
59.4839,59.5119534685,0.000471358933408
60.0384,59.4082420874,0.0106069692404
60.2724,59.9525299174,0.00533602389009
60.7995,60.722357181,0.00126990809821
61.5583,61.6295035643,0.00115615302613
61.736,61.078126602,0.0107702662035
61.5328,61.0426809401,0.00802935058296
61.616,60.9219031293,0.0113931796203
61.0411,60.055007217,0.0164205809543
61.386,61.7610478005,0.0060722276167
62.8588,64.6960719182,0.0283989954967
65.2802,65.8761604086,0.0090469529508
66.2215,65.798192636,0.0064332514271
66.4229,66.3822901866,0.000612176375748
67.2614,67.0972150167,0.00244751508129
67.4045,66.2157827401,0.0179515261021
67.0562,66.3862546496,0.0100913692936
67.163,66.4655439099,0.0104932993012
66.8733,66.2091753017,0.0100304539591
66.8953,66.4668653976,0.00644632383794
66.1474,64.5665661264,0.0244833100657
65.132,64.8713011834,0.00401911915154
65.4154,64.9775487922,0.00673905074907
65.4304,64.3849937204,0.0162363986498
65.3568,64.5652446387,0.0122600714752
66.1566,65.9014008231,0.00387256955506
66.3902,65.4493198908,0.0143756705907
66.3379,65.8391587538,0.00757546721816
66.8582,66.8897414524,0.000471200669189
66.924,65.3660661675,0.0238333396602
63.3158,61.807299869,0.0244056973252
62.6168,62.4654007292,0.00242431517049
62.3416,61.4359618334,0.0147410249786
61.2206,59.4828030554,0.0292158869439
60.1599,60.1699766444,0.000167204989495
61.3014,61.4068891046,0.00171806973594
62.5314,62.4138627101,0.00188250007874
62.9849,61.7676552388,0.0197068544154
64.7606,64.837471099,0.00118634556638
65.3046,64.6339619976,0.0103758756061
64.9042,63.6335958306,0.0199668696819
64.7176,64.2533735483,0.00722514081723
64.5547,63.7948173264,0.0119116367595
63.8488,63.0019247237,0.0134417012016
64.1697,64.4833124031,0.0048635747495
64.7327,64.6947504305,0.000586776534689
64.8868,63.8820355127,0.0157289552549
64.4435,63.8318189812,0.00958324358602
64.6999,64.455561162,0.00379053941789
64.8106,63.555628058,0.0197465240881
64.6366,64.3020042946,0.00520333322915
64.9922,64.7050580344,0.00443821937162
65.2963,65.1244982212,0.0026377429497
65.5001,65.5510744414,0.000777059915211
66.1431,65.8999471866,0.00368956453186
66.6559,66.2215972858,0.00655888602536
66.9265,66.6690530113,0.0038608561817
67.4235,67.2491860989,0.00259172019827
68.5117,68.8973455224,0.0055980067832
69.3459,68.69984919,0.00940453951331
69.1033,69.3728167865,0.00388534998623
70.1444,70.291250718,0.00208871870422
70.2957,69.5047012561,0.0113798495135
70.4815,70.0224601257,0.00655580867277
69.6381,68.2783606972,0.0199149752201
69.3914,69.3643592654,0.000390432205843
69.636,69.0744248704,0.00812991332482
69.6388,68.7213233646,0.0133500402612
69.5984,69.6093630797,0.000158205078576
