Using: ,adj_open_tomorrow,sentiment_n,adj_close_tomorrow,sentiment_p,adj_low
Predict: ,adj_close_tomorrow
Train RMSE 2: ,0.006382588622746857
Test RMSE 2: ,0.004705786688911442
PredictedRelative Unsigned,TrueRelative Unsigned,Relative Error onRelative Unsigned
[ 0.0055369],0.00256494598885,[ 1.15867913]
[ 0.00553943],0.00458871047362,[ 0.20718709]
[ 0.00545499],0.00356891839895,[ 0.52847123]
[ 0.00547706],0.00606628016358,[ 0.09712958]
[ 0.00545084],0.00302347925958,[ 0.80283844]
[ 0.00547435],0.00481765433062,[ 0.13630974]
[ 0.00543165],0.00172078239209,[ 2.15649796]
[ 0.00545627],0.00418153855707,[ 0.30484623]
[ 0.00545853],0.00620442146847,[ 0.12021966]
[ 0.00548165],0.0071787004065,[ 0.23640026]
[ 0.00542113],0.00302793110164,[ 0.79037583]
[ 0.00548551],0.00592831121996,[ 0.07469191]
[ 0.00543617],0.00077730434628,[ 5.99361849]
[ 0.0054239],0.00176182892791,[ 2.0785625]
[ 0.00553723],0.00682676980221,[ 0.18889426]
[ 0.00552795],0.00588959032266,[ 0.06140349]
[ 0.00556997],0.00779925682744,[ 0.285833]
[ 0.00556631],0.00645055838658,[ 0.13708091]
[ 0.00565831],0.0172738209693,[ 0.67243427]
[ 0.005597],0.00311219442898,[ 0.79840922]
[ 0.00566637],0.0125598203962,[ 0.5488494]
[ 0.00568181],0.00779300872969,[ 0.27090958]
[ 0.00558926],0.000695196364295,[ 7.03982162]
[ 0.00558343],0.000109332276207,[ 50.06848145]
[ 0.01041284],0.00504511309478,[ 1.06394577]
[ 0.00571755],0.0181417702445,[ 0.68484032]
[ 0.00562672],0.00520712447806,[ 0.08058073]
[ 0.00577081],0.0147480931648,[ 0.60870832]
[ 0.00565567],0.00333551078174,[ 0.69559199]
[ 0.01004785],0.0142782931508,[ 0.29628527]
[ 0.00319636],0.0104435620654,[ 0.69393963]
[ 0.00561693],0.00222838808816,[ 1.5206269]
[ 0.0055541],0.0040513189896,[ 0.37093732]
[ 0.00556604],0.0021039978741,[ 1.6454612]
[ 0.0056146],0.00740868261303,[ 0.24215883]
[ 0.00556807],0.000512894508771,[ 9.85616398]
[ 0.0055909],0.00439885833551,[ 0.27098888]
[ 0.00560056],0.0042393497755,[ 0.32108933]
[ 0.0056261],0.00861721259786,[ 0.34710893]
[ 0.00567271],0.0116264692482,[ 0.51208621]
[ 0.00562536],0.0020119421226,[ 1.79598475]
[ 0.00566385],0.0088462252312,[ 0.35974383]
[ 0.00561076],0.00059796334018,[ 8.38311005]
[ 0.00557485],0.00391376903046,[ 0.42442012]
[ 0.00553041],0.00538525782827,[ 0.02695302]
[ 0.00547575],0.0075647688909,[ 0.27615145]
[ 0.00554137],0.00364990309975,[ 0.518224]
[ 0.00545704],0.00498273552938,[ 0.09518882]
[ 0.00548468],0.00188670299927,[ 1.90701854]
[ 0.0054772],0.00254377818391,[ 1.1531738]
[ 0.00547976],0.00556446918897,[ 0.01522368]
[ 0.00545132],0.00089904177953,[ 5.06347561]
[ 0.00544302],0.00219026160143,[ 1.48510158]
[ 0.00545364],0.00414660389099,[ 0.31520587]
[ 0.00548988],0.007423133245,[ 0.26043674]
[ 0.00545591],0.000941161891439,[ 4.79699278]
[ 0.00542438],0.000590652362767,[ 8.18371391]
[ 0.00546847],0.00744942591629,[ 0.26592085]
[ 0.00545963],0.00373469714458,[ 0.46186635]
[ 0.00550753],0.00999332825336,[ 0.44887918]
[ 0.00547114],0.00309225067838,[ 0.7693066]
