Using: ,adj_low,adj_close_tomorrow,sentiment_p,sentiment_n,adj_open_tomorrow
Predict: ,adj_close_tomorrow
Train RMSE 1: ,0.7390656124814272
Test RMSE 1: ,0.9436775867104346
Baseline RMSE 1: ,1.224528726329681
Predicted adj_close_tomorrow,True adj_close_tomorrow,Relative Error on adj_close_tomorrow
55.2074,55.4462047723,0.00430687155226
55.3937,55.2335308012,0.00289998614806
56.1638,56.0944665438,0.00123518361094
56.458,55.9923305255,0.00831728176857
56.4712,56.1144211386,0.00635777097948
56.7225,56.4760981699,0.00436239697782
56.8466,56.4911953962,0.00629131991555
57.2427,56.681289168,0.00990487255637
57.0119,55.7875333681,0.0219471276621
56.6585,55.9660744797,0.0123713625989
56.2089,55.0051032025,0.0218858856009
57.5163,57.8302537333,0.00542907830632
58.1681,57.5663804728,0.0104522622147
58.0602,57.8932682433,0.00288422601943
58.5643,58.7859738014,0.0037708529761
59.47,59.5119534685,0.000705322771059
60.0241,59.4082420874,0.0103659189579
60.258,59.9525299174,0.00509550767361
60.7848,60.722357181,0.00102798074473
61.5432,61.6295035643,0.0014010185777
61.7207,61.078126602,0.0105203171742
61.5177,61.0426809401,0.00778100619998
61.6008,60.9219031293,0.0111437167322
61.0262,60.055007217,0.0161718364251
61.371,61.7610478005,0.00631478043431
62.8609,64.6960719182,0.0283667425431
65.2739,65.8761604086,0.00914180477705
66.2037,65.798192636,0.00616343244936
66.4051,66.3822901866,0.0003442718096
67.2431,67.0972150167,0.00217473300717
67.386,66.2157827401,0.0176724628216
67.0379,66.3862546496,0.00981658526762
67.1447,66.4655439099,0.0102179247777
66.8551,66.2091753017,0.00975654825464
66.8772,66.4668653976,0.00617325048807
66.1295,64.5665661264,0.0242066899251
65.1149,64.8713011834,0.00375461839407
65.3981,64.9775487922,0.00647298641871
65.413,64.3849937204,0.0159663451928
65.3395,64.5652446387,0.0119923080972
66.139,65.9014008231,0.00360479391857
66.3723,65.4493198908,0.0141020819729
66.3201,65.8391587538,0.0073047732123
66.8402,66.8897414524,0.000740380527009
66.9057,65.3660661675,0.0235541502767
63.2994,61.807299869,0.024140675069
62.6011,62.4654007292,0.00217264997267
62.326,61.4359618334,0.0144865088348
61.2055,59.4828030554,0.0289613506297
60.1456,60.1699766444,0.000405774233013
61.2865,61.4068891046,0.0019605926571
62.5157,62.4138627101,0.00163209393468
62.9689,61.7676552388,0.0194478379404
64.7438,64.837471099,0.00144451250777
65.2874,64.6339619976,0.0101095773083
64.887,63.6335958306,0.0196979436262
64.7007,64.2533735483,0.00696213347686
64.5378,63.7948173264,0.011647217297
63.8323,63.0019247237,0.0131797061095
64.1532,64.4833124031,0.00512008339844
64.7158,64.6947504305,0.000326035265941
64.8698,63.8820355127,0.0154621499278
64.4268,63.8318189812,0.00932041168115
64.683,64.455561162,0.00352894892655
64.7936,63.555628058,0.0194784685514
64.6197,64.3020042946,0.00494123669414
64.9752,64.7050580344,0.00417551516376
65.279,65.1244982212,0.00237309903356
65.4828,65.5510744414,0.00104091275896
66.1254,65.8999471866,0.00342143567154
66.638,66.2215972858,0.00628733590203
66.9083,66.6690530113,0.00358861098292
67.4051,67.2491860989,0.00231842006644
68.4927,68.8973455224,0.00587307421682
69.3265,68.69984919,0.00912112965036
69.084,69.3728167865,0.00416315116944
70.1245,70.291250718,0.00237179036299
70.2756,69.5047012561,0.0110913791156
70.4614,70.0224601257,0.00626805484463
69.6379,68.2783606972,0.0199119582517
69.3719,69.3643592654,0.000109407437016
69.6163,69.0744248704,0.00784538948912
69.619,68.7213233646,0.0130630553211
69.5788,69.6093630797,0.000439665564486
69.7972,69.4374375336,0.00518136616062
70.0183,69.2419895071,0.0112111581189
69.3427,68.121718664,0.0179241551719
69.2539,69.1941374065,0.000863012965628
69.4402,68.9931585842,0.00647984697112
69.4526,69.1210300307,0.00479692708531
69.6022,69.2039736716,0.00575465446817
70.1736,70.2043484183,0.00043777795855
70.3981,69.7831170109,0.00881345801788
70.134,68.937464056,0.0173565383892
69.6476,69.0598856799,0.00851018765625
69.4346,68.4550882979,0.0143092803488
69.4988,69.2707007674,0.00329300908643
69.4977,69.0931163053,0.00585579140069
69.9484,69.6168309614,0.0047632441228
70.6431,70.9008623264,0.00363546739382
71.9127,72.5703689459,0.00906317403928
73.3727,73.9142154365,0.00732611787446
74.1232,73.270870529,0.0116328878843
74.9653,75.2769369224,0.0041401564631
75.5129,75.1012133754,0.00548167310345
76.1046,75.4868215524,0.00818441657675
75.6479,74.4392593176,0.0162360340423
75.4452,75.2912925526,0.00204453953257
75.5812,75.1743207512,0.00541257333769
75.5545,74.6173754697,0.0125593292138
75.2316,74.5083790185,0.00970674909662
74.9922,73.696222534,0.0175848151218
74.5177,74.1042946137,0.00557828754928
74.491,73.7706591349,0.00976435522276
73.9464,73.2097261783,0.0100629777099
73.0499,72.3709851935,0.00938140557929
73.2765,72.9771118006,0.00410307911045
75.3434,75.7777889082,0.005732718714
76.0458,75.4561164545,0.00781531499578
75.9201,74.9549986237,0.0128750979757
75.4374,74.4485638928,0.0132820466107
74.7272,73.7081855591,0.0138251326047
74.5885,74.5721818192,0.000218427829132
74.357,73.523423282,0.0113372861455
73.5787,71.9084148881,0.0232273812747
72.5377,72.3005362677,0.00328020486297
72.3938,71.7831354304,0.00850642170559
72.4764,72.238062692,0.00329957422211
72.5499,71.3154476087,0.0173101227079
71.9266,70.8397179757,0.0153422614263
71.429,71.210571755,0.0030670475733
72.2595,72.6275256215,0.00506763668969
73.7918,74.0856854635,0.00396722425699
74.2785,73.6722964837,0.00822801033245
73.4869,71.8672089127,0.0225372800952
72.9193,72.9837579257,0.000883651108749
73.5105,73.3080888295,0.00276170061194
73.9845,73.9288369117,0.000752372334889
73.576,72.584990421,0.0136534631984
73.6004,73.1738371029,0.00582948422582
69.6849,67.3252470347,0.0350491025676
67.4199,66.5609426508,0.0129050395108
67.1696,66.4322736693,0.0110995134948
66.7917,66.5410042756,0.0037679155257
67.0485,66.664622202,0.00575857336495
67.7706,67.6296395633,0.00208462873754
68.1216,68.1347450692,0.000192743369357
68.7027,68.5295248988,0.00252720435735
69.7494,69.4882509598,0.00375857547192
70.453,70.7331239902,0.00395982146829
71.3587,71.6651073437,0.00427549391634
72.12,71.6597588023,0.00642220172712
72.5675,72.797661003,0.00316232036513
72.947,72.7388270467,0.00286148458003
73.4908,73.0062541208,0.00663640476852
73.2072,71.8536434311,0.0188373576177
71.9107,71.0219452303,0.0125139907478
71.4053,70.2330353614,0.0166909108918
70.888,70.5405764967,0.00492451624906
70.8285,69.8064891781,0.0146401739541
70.2821,69.1766984183,0.0159794569434
70.2479,70.5566221212,0.00437549581322
70.7509,70.3654117631,0.00547794688015
70.809,70.5686563395,0.00340513769821
71.3513,71.0339794486,0.00446656484752
71.603,71.1837386102,0.00589001762147
71.6693,70.9684598155,0.00987510779051
71.534,70.927008619,0.00855824689465
71.3466,70.9911911168,0.00500675026556
72.0112,71.6824901036,0.00458531726433
72.166,71.7520211429,0.00576905109833
71.9968,70.9550884617,0.014681434044
71.2005,70.1581557806,0.0148567448483
70.9948,70.4322685317,0.00798614692671
71.2473,71.0553736146,0.00270139270523
71.5081,71.0366537194,0.00663712591329
71.4335,70.6943470644,0.010454999405
71.6565,71.2519325141,0.00567843929583
72.2122,72.0970020686,0.00159787380353
72.9843,72.8725405837,0.00153423906696
