Using: ,adj_low,adj_close_tomorrow,sentiment_p,sentiment_n,adj_open_tomorrow
Predict: ,adj_close_tomorrow
Train RMSE 2: ,0.0063200425917824135
Test RMSE 2: ,0.004755023989008846
PredictedRelative Unsigned,TrueRelative Unsigned,Relative Error onRelative Unsigned
 0.00535802,0.00216841736502, 1.47093689
 0.00536121,0.0041905263022, 0.27936468
 0.00528031,0.00396482447077, 0.33178937
 0.00530618,0.00566381409927, 0.06314325
 0.00527741,0.00262067601906, 1.0137583
 0.00529793,0.00441374423961, 0.20032655
 0.00526087,0.00131877417195, 2.98921132
 0.00528106,0.00377714294957, 0.39816189
 0.0052859,0.00579928774969, 0.08852521
 0.00530496,0.00677275378287, 0.2167199
 0.00525141,0.00342539622177, 0.53308165
 0.00530953,0.00552468304756, 0.03894357
 0.00526242,0.000375298465846, 13.02196884
 0.00525137,0.00135831690839, 2.86608934
 0.00535202,0.00642263774488, 0.16669497
 0.00535236,0.00549035737536, 0.02513381
 0.00538817,0.00739913107589, 0.27178323
 0.00538518,0.00605157641435, 0.11011929
 0.00547447,0.0168713333583, 0.67551619
 0.00541451,0.00271939178123, 0.99107462
 0.00548107,0.0121627134002, 0.54935473
 0.00549208,0.00740038071284, 0.25786549
 0.00540834,0.00108378054247, 3.99025226
 0.00540095,0.000500024172162, 9.8013773
 0.0108021,0.00519845274681, 1.07794535
 0.00553544,0.0177458908967, 0.68807214
 0.00544106,0.00558926840268, 0.02651684
 0.00558075,0.0143575048155, 0.61130106
 0.00547131,0.00371572909455, 0.4724732
 0.01035983,0.0144339270513, 0.28225812
 0.00267192,0.00996082309156, 0.73175693
 0.00543314,0.00183786630746, 1.95622027
 0.00537167,0.00444070513542, 0.20964433
 0.00538708,0.00171084802715, 2.14877629
 0.00543045,0.00701212908401, 0.22556311
 0.00538652,0.000120400503785, 43.73839188
 0.00540837,0.00400420564248, 0.35067171
 0.00541544,0.00384437690492, 0.40866464
 0.00544435,0.00822174608448, 0.3378115
 0.00548641,0.0112303162448, 0.51146406
 0.00543967,0.00162155468755, 2.35460162
 0.00547934,0.00845322363015, 0.35180485
 0.0054276,0.000209088326306, 24.95839882
 0.00539056,0.00430213139841, 0.25299668
 0.00535128,0.00577397850384, 0.07320668
 0.00529927,0.00795531399138, 0.33387038
 0.00536245,0.00325248120135, 0.64872628
 0.00528161,0.00537739209931, 0.01781248
 0.00530923,0.00148721800571, 2.56990647
 0.00530071,0.00214266446937, 1.47388875
 0.00530543,0.00516120987445, 0.02794233
 0.00527549,0.000497502805167, 9.6039362
 0.00526955,0.00178780542199, 1.94749665
 0.00527843,0.00374208425959, 0.41055954
 0.00531233,0.00701766224092, 0.24300507
 0.00527944,0.000539739753504, 8.78145695
 0.0052512,0.000991912814506, 4.29400921
 0.00529491,0.00704346996482, 0.24825296
 0.0052842,0.00333101922258, 0.58636194
 0.00533085,0.00958701219933, 0.44395131
 0.00529509,0.00269008185312, 0.96837652
 0.00529164,0.00182992438154, 1.89172435
 0.0052793,0.00128836805991, 3.09766746
 0.00522614,0.0032629072687, 0.60168171
 0.00519419,0.00411803933521, 0.26132655
 0.00521587,0.00129520168663, 3.02706838
 0.00519101,0.00137711532238, 2.7694838
 0.00521971,0.00255138792329, 1.04583156
 0.0052255,0.00333707455813, 0.56589311
 0.00518365,0.00259220814049, 0.99970323
 0.00518805,0.000705926904006, 6.34927082
 0.00521452,0.00388145179133, 0.34344688
 0.00520728,0.00481311389514, 0.08189485
 0.00520537,0.00400955566648, 0.29824102
 0.00520764,0.00341967923198, 0.52284521
 0.00512136,0.0050847640949, 0.00719743
 0.00513884,1.51233373951e-05, 338.7956543
 0.00516029,0.00452657857871, 0.1399978
 0.00516615,0.00286313764057, 0.80436581
 0.00516778,0.00266628645551, 0.93819231
 0.00486614,0.0195426925506, 0.75099933
 0.00977251,0.00334409101983, 1.92232144
