Using: ,adj_low,adj_close_tomorrow,sentiment_p,sentiment_n,adj_open_tomorrow
Predict: ,adj_close_tomorrow
Train RMSE 2: ,0.0046448083614119475
Test RMSE 2: ,0.0054142566335233
PredictedRelative Unsigned,TrueRelative Unsigned,Relative Error onRelative Unsigned
 0.00315083,0.000667878496889, 3.71766758
 0.00316127,0.00158286644626, 0.99718004
 0.00310763,0.0090975330417, 0.65841013
 0.00312319,0.000783616104653, 2.98561859
 0.00310856,0.00173019634179, 0.79665089
 0.00313917,0.0015005472821, 1.09201825
 0.00314682,0.000961982637918, 2.27118564
 0.00313361,0.00203366502052, 0.54087019
 0.00307124,0.00819093297697, 0.62504435
 0.0052313,0.0066518542467, 0.21355757
 0.00305259,0.00169564567917, 0.80025434
 0.00304403,0.00338720749342, 0.10131431
 0.00299838,0.00779661131621, 0.61542541
 0.00301854,0.002676603941, 0.12774847
 0.00304829,0.00176413206271, 0.72792464
 0.0030773,0.00105609078214, 1.91386378
 0.00529805,0.0083010642477, 0.36176312
 0.00548335,0.0103185813594, 0.46859449
 0.00543084,0.00241636113424, 1.24752986
 0.00321538,0.00974290538652, 0.66997778
 0.0032513,0.00177575715899, 0.83093762
 0.00326003,0.00440290785831, 0.25957242
 0.00427571,0.00742466576998, 0.42412096
 0.00312034,0.00941071937482, 0.66842735
 0.00314098,0.0034925604555, 0.10066583
 0.00325568,0.0150375124703, 0.78349632
 0.0033086,0.00137832290654, 1.40045226
 0.00338817,0.0118498019337, 0.71407336
 0.00331159,0.0123309220032, 0.73144001
 0.00327684,0.00317643861862, 0.03160958
 0.00590279,0.00234405247401, 1.51819789
 0.00564752,0.00233535513917, 1.41827118
 0.00570595,3.40639633511e-06, 1674.06970215
 0.00324741,0.000784437823447, 3.13978696
 0.00326637,0.00562267768674, 0.41907158
 0.00563993,0.00438841075909, 0.28518641
 0.00324135,0.00496360549574, 0.34697655
 0.00322711,0.00356396326035, 0.09451663
 0.00327809,0.00809195523853, 0.59489578
 0.00333601,0.00870831048005, 0.61691624
 0.00334929,0.00364574518901, 0.08131594
 0.00328793,0.00835345114994, 0.60639852
 0.00329128,0.000719915715024, 3.57176018
 0.00322166,0.00950013552709, 0.66088223
 0.00320732,0.00689828290452, 0.53505504
 0.00313529,0.0101016067768, 0.68962473
 0.00313309,0.00431148898765, 0.27331683
 0.00309632,0.0046718132447, 0.33723316
 0.00307858,0.00309468667088, 0.0052057
 0.00308741,0.000859468387942, 2.59222841
 0.00311291,0.00316755458158, 0.01725041
 0.00310437,0.00302486478365, 0.02628241
 0.00309708,0.00422078470487, 0.26623228
 0.0031036,0.000351031053774, 7.8413763
 0.00311928,0.00201609596152, 0.54718763
 0.00312618,0.000929067205102, 2.36485362
 0.00311816,0.00233808363937, 0.33363816
 0.00314074,0.00319662271559, 0.01748162
 0.00314979,0.000739595147897, 3.25880194
