Using: ,adj_low,adj_close_tomorrow,sentiment_p,sentiment_n,adj_open_tomorrow
Predict: ,adj_close_tomorrow
Train RMSE 1: ,1.4801360350067339
Test RMSE 1: ,2.4092784814364463
Baseline RMSE 1: ,3.022348398921735
Predicted adj_close_tomorrow,True adj_close_tomorrow,Relative Error on adj_close_tomorrow
91.0824,89.96,0.0124767976848
91.0416,90.2,0.00932990368084
92.2558,92.47,0.00231652740944
93.4863,92.9,0.00631130781061
94.2738,93.8,0.00505137494378
94.098,91.53,0.0280561202291
92.5731,91.45,0.0122806638756
92.4815,91.39,0.0119429718862
92.2406,90.8,0.0158656452196
92.0166,90.81,0.0132865960371
91.6637,90.49,0.012970874528
91.9663,91.33,0.00696663546899
92.7079,91.99,0.00780412002366
92.7659,91.96,0.00876367211394
92.6237,91.7,0.0100730138881
92.6917,91.0,0.0185899839296
93.2911,93.6,0.00330021850064
95.1405,96.04,0.00936593814772
96.5946,96.45,0.00149887345998
97.1278,95.57,0.0163005730267
96.7577,95.72,0.0108408148798
97.5884,97.59,1.6611269085e-05
99.7814,101.68,0.0186721297533
101.7,101.87,0.00166837415717
102.614,101.95,0.0065120829853
103.568,103.98,0.00395818388584
104.558,103.9,0.00633373389001
104.368,102.93,0.0139691404637
103.173,103.0,0.00167780015075
102.791,101.06,0.0171325943292
102.325,101.53,0.00782686156686
101.936,99.77,0.0217086028823
100.811,99.3,0.0152139500429
100.618,99.52,0.0110361399758
100.847,99.6,0.0125230689604
99.0941,95.8,0.0343847095593
97.4085,97.85,0.00451192334409
98.5162,98.95,0.0043840605903
99.5232,98.34,0.0120313488082
100.499,99.35,0.0115633361233
100.466,99.94,0.00525868804974
100.954,99.8,0.011564067466
101.171,100.24,0.00928745741665
101.609,101.33,0.00275158446856
101.833,100.2,0.0162947420589
101.382,100.26,0.0111952788716
101.033,99.57,0.0146964466738
100.554,99.2,0.0136468948856
101.343,101.22,0.00121451941104
102.838,102.77,0.000666397954398
103.88,102.83,0.010208256013
104.82,106.12,0.0122486320119
105.851,104.41,0.0137994402887
105.11,103.08,0.0196930038221
104.608,103.73,0.00846547555478
104.079,102.34,0.0169932962
104.027,103.29,0.00713599304087
104.671,104.72,0.000471944204262
104.822,104.33,0.00471557277876
106.451,108.16,0.0157969604582
108.289,109.8,0.0137644977952
110.976,111.4,0.00380982102783
112.102,111.01,0.0098383712528
