Using: ,adj_low,adj_close_tomorrow,sentiment_p,sentiment_n,adj_open_tomorrow
Predict: ,adj_close_tomorrow
Train RMSE 2: ,0.028610800489108957
Test RMSE 2: ,0.09590347429092069
PredictedRelative Unsigned,TrueRelative Unsigned,Relative Error onRelative Unsigned
[ 0.02729104],0.0735869407654,[ 0.62913203]
[ 0.02734901],0.0793677677556,[ 0.65541416]
[ 0.02736995],0.051244375917,[ 0.46589351]
[ 0.02739075],0.0762261221901,[ 0.64066458]
[ 0.02744879],0.0687920110979,[ 0.60098869]
[ 0.02746597],0.0585137402011,[ 0.53060657]
[ 0.02751268],0.0736838668397,[ 0.62661189]
[ 0.02757632],0.0915372973291,[ 0.69874227]
[ 0.02759317],0.049766142983,[ 0.44554326]
[ 0.02756857],0.0600430686584,[ 0.54085338]
[ 0.02755456],0.0641029717591,[ 0.57015163]
[ 0.02755147],0.0705524889281,[ 0.6094898]
[ 0.02757697],0.0810170917944,[ 0.65961546]
[ 0.02758246],0.0547922527979,[ 0.49659932]
[ 0.02757966],0.0668565938761,[ 0.58748031]
[ 0.02756116],0.0597421464877,[ 0.53866476]
[ 0.02764277],0.127426747315,[ 0.78306937]
[ 0.02791682],0.177942271724,[ 0.84311306]
[ 0.02776949],0.094062958659,[ 0.70477772]
[ 0.02773363],0.0533530603756,[ 0.48018667]
[ 0.02777746],0.137610942927,[ 0.79814494]
[ 0.02793184],0.0826520551855,[ 0.66205513]
[ 0.02792643],0.0885597583952,[ 0.68466008]
[ 0.02839523],0.161872242417,[ 0.8245824]
[ 0.02847841],0.0438793412345,[ 0.35098374]
[ 0.02835357],0.0523226825292,[ 0.45810166]
[ 0.02822923],0.0305247836643,[ 0.07520295]
[ 0.02817182],0.0863347067113,[ 0.67369068]
[ 0.02813636],0.0564080708375,[ 0.50119978]
[ 0.02814788],0.0761282345215,[ 0.63025701]
[ 0.02812734],0.0752695951366,[ 0.62631202]
[ 0.02816264],0.0635039135606,[ 0.55652124]
[ 0.02808948],0.0685305894233,[ 0.59011757]
[ 0.02808477],0.104803614849,[ 0.73202485]
[ 0.02820106],0.11249205354,[ 0.7493062]
[ 0.02823392],0.0941696166992,[ 0.70018011]
[ 0.02820901],0.0749661594356,[ 0.6237101]
[ 0.02822353],0.0880664789871,[ 0.67952025]
[ 0.02829771],0.152790400558,[ 0.81479388]
[ 0.02844434],0.117645004542,[ 0.75821888]
[ 0.02845108],0.102680959362,[ 0.72291768]
[ 0.02845988],0.106938855744,[ 0.7338677]
[ 0.02845766],0.0858192858754,[ 0.66840023]
[ 0.02851693],0.0992275308867,[ 0.71261078]
[ 0.02848492],0.0864524643656,[ 0.67051351]
[ 0.02846573],0.0949008986065,[ 0.70004791]
[ 0.02848957],0.144768951374,[ 0.80320662]
[ 0.02854085],0.109280928223,[ 0.73883045]
[ 0.0285766],0.145652603495,[ 0.80380303]
[ 0.02867178],0.138006028007,[ 0.79224259]
[ 0.02869419],0.0829827464219,[ 0.65421498]
[ 0.02862078],0.0875912592153,[ 0.67324615]
[ 0.02856687],0.106615554757,[ 0.73205721]
[ 0.02859072],0.131195820553,[ 0.78207594]
[ 0.02860995],0.114358480944,[ 0.7498222]
[ 0.0286101],0.107539466034,[ 0.73395717]
[ 0.02862806],0.119573713618,[ 0.76058227]
[ 0.02862163],0.111204960944,[ 0.74262273]
[ 0.02863628],0.110360243295,[ 0.74051994]
[ 0.02861355],0.0916570001397,[ 0.68781924]
[ 0.028544],0.0720130339695,[ 0.60362732]
[ 0.02850493],0.0669190070533,[ 0.57403827]
[ 0.02844871],0.0852672885285,[ 0.66635847]
[ 0.02845121],0.11516399895,[ 0.75295049]
[ 0.02846067],0.105488208684,[ 0.73020053]
[ 0.02833033],0.093828271075,[ 0.69806182]
[ 0.02838408],0.146489720055,[ 0.80623841]
[ 0.02843957],0.094623597402,[ 0.69944531]
[ 0.02845229],0.111860455677,[ 0.74564475]
[ 0.02847019],0.109075170802,[ 0.73898554]
[ 0.02849026],0.109360165347,[ 0.73948222]
[ 0.02851781],0.111905142765,[ 0.74516088]
[ 0.02853455],0.116437711282,[ 0.75493723]
[ 0.02858662],0.15125995606,[ 0.81101]
[ 0.0286696],0.141355315083,[ 0.79718065]
[ 0.02867926],0.0997646787151,[ 0.71253097]
[ 0.02867643],0.13441807583,[ 0.7866624]
[ 0.02870614],0.129964022789,[ 0.77912247]
[ 0.0287274],0.130390095693,[ 0.77968109]
[ 0.02871797],0.0960634284165,[ 0.70105195]
[ 0.02870212],0.109971048532,[ 0.73900288]
[ 0.02865058],0.0890554831963,[ 0.67828399]
[ 0.02862749],0.10948404347,[ 0.7385236]
[ 0.02859982],0.0933859696365,[ 0.69374609]
[ 0.02860362],0.11989017955,[ 0.76141816]
[ 0.02858832],0.0919162947735,[ 0.68897432]
[ 0.02855454],0.0915621995287,[ 0.68814057]
[ 0.02852042],0.0993220704667,[ 0.7128492]
[ 0.02850862],0.111178121013,[ 0.74357706]
[ 0.02845699],0.0600763208726,[ 0.52631932]
[ 0.02836558],0.0435382666537,[ 0.34849089]
[ 0.02832053],0.110603718223,[ 0.74394596]
[ 0.02835999],0.102853594278,[ 0.72426832]
[ 0.02834396],0.0849608444586,[ 0.66638798]
[ 0.02833151],0.0941951646717,[ 0.69922543]
[ 0.02830782],0.0887547482627,[ 0.68105572]
[ 0.02833671],0.104228605593,[ 0.72812921]
[ 0.02832453],0.0715637572293,[ 0.60420573]
[ 0.02845215],0.19100326623,[ 0.8510384]
[ 0.02863732],0.159332603808,[ 0.82026702]
[ 0.02868414],0.118256447532,[ 0.75744116]
[ 0.02871995],0.16013911015,[ 0.82065624]
[ 0.02881121],0.168698826497,[ 0.82921511]
[ 0.0289136],0.175265552446,[ 0.83502972]
[ 0.02896739],0.122534315193,[ 0.76359767]
[ 0.0289631],0.158226576981,[ 0.81695169]
[ 0.02893857],0.105064426372,[ 0.7245636]
[ 0.02891462],0.134450961301,[ 0.78494304]
[ 0.02903598],0.181239573861,[ 0.83979225]
[ 0.0290808],0.138577300998,[ 0.79014736]
[ 0.02905549],0.135320237705,[ 0.78528345]
[ 0.02903917],0.166016257901,[ 0.82508236]
[ 0.02907304],0.186554413989,[ 0.84415781]
[ 0.029103],0.154992206773,[ 0.81222928]
[ 0.02910717],0.153993294909,[ 0.81098419]
[ 0.02909858],0.142475925537,[ 0.79576492]
[ 0.02909016],0.161080648733,[ 0.81940627]
[ 0.02909186],0.152606544177,[ 0.80936688]
[ 0.02909662],0.164549209652,[ 0.82317376]
[ 0.02907362],0.124198705438,[ 0.76591045]
[ 0.02905709],0.147697720717,[ 0.80326647]
[ 0.02905495],0.154105185598,[ 0.81146026]
[ 0.02908569],0.197659092624,[ 0.85284919]
